rank,word,count,complexity_band
321,support,71,Band 1 - Basic/Everyday
322,tag,1,Band 1 - Basic/Everyday
323,take,58,Band 1 - Basic/Everyday
324,talk,25,Band 1 - Basic/Everyday
325,task,1,Band 1 - Basic/Everyday
326,taught,134,Band 1 - Basic/Everyday
327,tea,1,Band 1 - Basic/Everyday
328,teach,493,Band 1 - Basic/Everyday
329,teaching,212,Band 1 - Basic/Everyday
330,tech,1,Band 1 - Basic/Everyday
331,tell,19,Band 1 - Basic/Everyday
332,test,1,Band 1 - Basic/Everyday
333,theirs,1,Band 1 - Basic/Everyday
334,then,52,Band 1 - Basic/Everyday
335,there,59,Band 1 - Basic/Everyday
336,thin,1,Band 1 - Basic/Everyday
337,things,64,Band 1 - Basic/Everyday
338,think,44,Band 1 - Basic/Everyday
339,thoughts,39,Band 1 - Basic/Everyday
340,thunder,1,Band 1 - Basic/Everyday
341,time,136,Band 1 - Basic/Everyday
342,tired,1,Band 1 - Basic/Everyday
343,today,24,Band 1 - Basic/Everyday
344,together,48,Band 1 - Basic/Everyday
345,tone,1,Band 1 - Basic/Everyday
346,tool,1,Band 1 - Basic/Everyday
347,tour,1,Band 1 - Basic/Everyday
348,track,1,Band 1 - Basic/Everyday
349,train,1,Band 1 - Basic/Everyday
350,travel,1,Band 1 - Basic/Everyday
351,traveled,1,Band 1 - Basic/Everyday
352,true,52,Band 1 - Basic/Everyday
353,trust,33,Band 1 - Basic/Everyday
354,truth,83,Band 1 - Basic/Everyday
355,try,24,Band 1 - Basic/Everyday
356,two,39,Band 1 - Basic/Everyday
357,types,1,Band 1 - Basic/Everyday
358,understand,97,Band 1 - Basic/Everyday
359,understanding,46,Band 1 - Basic/Everyday
360,use,168,Band 1 - Basic/Everyday
361,useful,1,Band 1 - Basic/Everyday
362,using,48,Band 1 - Basic/Everyday
363,very,21,Band 1 - Basic/Everyday
364,views,1,Band 1 - Basic/Everyday
365,walked,1,Band 1 - Basic/Everyday
366,walls,1,Band 1 - Basic/Everyday
367,want,32,Band 1 - Basic/Everyday
368,war,1,Band 1 - Basic/Everyday
369,warm,1,Band 1 - Basic/Everyday
370,warning,1,Band 1 - Basic/Everyday
371,washed,1,Band 1 - Basic/Everyday
372,water,29,Band 1 - Basic/Everyday
373,way,78,Band 1 - Basic/Everyday
374,wear,1,Band 1 - Basic/Everyday
375,web,1,Band 1 - Basic/Everyday
376,week,32,Band 1 - Basic/Everyday
377,why,52,Band 1 - Basic/Everyday
378,will,707,Band 1 - Basic/Everyday
379,willing,31,Band 1 - Basic/Everyday
380,wind,1,Band 1 - Basic/Everyday
381,window,1,Band 1 - Basic/Everyday
382,wine,1,Band 1 - Basic/Everyday
383,wishes,1,Band 1 - Basic/Everyday
384,word,66,Band 1 - Basic/Everyday
385,work,167,Band 1 - Basic/Everyday
386,worked,1,Band 1 - Basic/Everyday
387,working,22,Band 1 - Basic/Everyday
388,world,70,Band 1 - Basic/Everyday
389,would,93,Band 1 - Basic/Everyday
390,write,39,Band 1 - Basic/Everyday
391,yesterday,1,Band 1 - Basic/Everyday
